sgd,average,early_stopping,fit_intercept,loss,epsilon_insensitive,hinge,huber,log_loss,modified_huber,perceptron,squared_error,penalty,elasticnet,l1,l2,None,shuffle,warm_start,Performance
1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0.9087
1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0.8989
1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0.0948
1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0.1045
1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0.9086
1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0.7176
1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0.7119
1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.0853
1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0.8425
1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0.008
1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0.0039
1,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0.8659
1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0.8875
1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0.8533
1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0.8999
1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0.9122
1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0.8998
1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0.1066
1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0.1201
1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0.7295
1,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0.6418
1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0.4398
1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0.0024
1,1,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0.9095
1,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0.0103
1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0.7327
1,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0.1
1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0.8004
1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0.0848
1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0.3819
1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0.8917
1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0.6563
1,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0.4191
1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0.8764
1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0.9021
1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0.1096
1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0.9073
1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0.9036
1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0.1255
1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0.9132
1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0.8965
1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0.2084
1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0.8984
1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0.0385
1,1,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0.907
1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0.9037
1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0.7421
1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0.8698
1,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0.9031
1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0.4112
1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0.1032
1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0.8868
1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0.2378
1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0.5269
1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0.6965
1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0.0048
1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0.9043
1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0.2964
1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0.8988
1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0.7331
1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0.6607
1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0.8343
1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0.6591
1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0.9143
1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.7026
1,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0.9001
1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0.1087
1,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0.5492
1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0.912
1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0.9114
1,1,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0.835
1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0.8545
1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0.8876
1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0.9059
1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0.8092
1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0.8664
1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0.0062
1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0.717
1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0.4952
1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0.161
1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0.4952
1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0.8992
1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0.8992
1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0.9127
1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0.9143
1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0.4662
1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0.7411
1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0.9115
1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0.1137
1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0.405
1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0.8839
1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0.0994
1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0.4191
1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0.7719
1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0.8989
1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0.0067
